id,section_id,content_key,content_type,value,locale,is_active,created_at,created_by,updated_at,updated_by
1,1,headline,text,Train the Brain. Play Insane. Own the Game,,1,2025-09-01 17:32:30.2945644,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-08 11:56:57.9895202,
2,1,subhead,text,Your success is ours,,1,2025-09-01 17:32:30.2945644,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-08 11:56:57.9897639,
3,1,cta-text,text,LEARN MORE,,1,2025-09-01 17:32:30.2945644,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-08 11:56:57.9897722,
4,1,background-image,image,23,,1,2025-09-01 17:32:30.2945644,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-08 11:56:57.9897771,
5,2,section-title,text,WHAT'S NEW WITH C3FC Soccer,,1,2025-09-01 17:33:25.2613599,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-08 13:16:26.1106065,
6,2,carousel-slides,carousel,"[
  {
    ""imageId"": 7,
    ""title"": ""Join Us For Rec Fall 2025!"",
    ""text"": ""C3FC Soccer REC introduces young players to the beautiful game. Sign up today!"",
    ""ctaText"": ""LEARN MORE""
  },
  {
    ""imageId"": 5,
    ""title"": ""Elite Training Sessions Open"",
    ""text"": ""Elite players can now register for exclusive sessions."",
    ""ctaText"": ""LEARN MORE""
  },
  {
    ""imageId"": 6,
    ""title"": ""Upcoming Tournament Info"",
    ""text"": ""Prepare for the summer tournament with our training camps."",
    ""ctaText"": ""LEARN MORE""
  }
]",,1,2025-09-01 17:33:25.2613599,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-08 13:16:26.1106082,
7,3,headline,text,Redefining the Youth Soccer Experience in Houston,,1,2025-09-01 17:34:28.3149404,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-08 13:20:09.4924691,
8,3,content,html,"<p>A full-service soccer club, our programming serves players from the recreational to elite level. With community at its core, C3FC Soccer focuses on growth, learning, and high-level player development.</p>",,1,2025-09-01 17:34:28.3149404,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-08 13:20:09.4924720,
9,3,cta-text,text,ABOUT C3FC Soccer,,1,2025-09-01 17:34:28.3149404,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-08 13:20:09.4924730,
10,3,cta-link,text,/about,,1,2025-09-01 17:34:28.3149404,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-08 13:20:09.4924739,
11,3,image,image,5,,1,2025-09-01 17:34:28.3149404,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-08 13:20:09.4924747,
12,4,headline,text,Developing Players At Every Level,,1,2025-09-01 17:35:32.0870856,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-09 14:22:18.7199612,
13,4,content,html,"<p>C3FC Soccer develops youth soccer players through professional coaching and inspiring environments. Learn about our programs:</p><p></p><ul class=""list-disc ml-6""><li><p>Recreational</p></li><li><p>Youth Academy</p></li><li><p>Competitive</p></li></ul><p></p>",,1,2025-09-01 17:35:32.0870856,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-09 14:22:18.7199637,
15,4,image,image,6,,1,2025-09-01 17:35:32.0870856,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-09 14:22:18.7199650,
16,5,section-title,text,We're proud of the support of our partners,,1,2025-09-01 17:39:10.7072914,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-09 14:31:12.6776310,
17,5,cta-text,text,Become a Partner,,1,2025-09-01 17:39:10.7072914,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-09 14:31:12.6776343,
18,5,cta-link,text,,,1,2025-09-01 17:39:10.7072914,3874ceb6-099b-4c38-99c1-ba17c6a975b0,2025-09-09 14:31:12.6776358,
